antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'earth'}),frozenset({'bbc'}),0.11392405063291139,0.0949367088607595,0.06962025316455696,0.611111111111111,6.437037037037036,1.0,0.05880467873738183,2.3273056057866177,0.9532467532467532,0.4999999999999999,0.5703185703185704,0.6722222222222222
frozenset({'bbc'}),frozenset({'earth'}),0.0949367088607595,0.11392405063291139,0.06962025316455696,0.7333333333333333,6.437037037037037,1.0,0.05880467873738183,3.322784810126582,0.9332485696122061,0.4999999999999999,0.6990476190476189,0.6722222222222222
frozenset({'beauty'}),frozenset({'nature'}),0.08860759493670886,0.25949367088607594,0.06329113924050633,0.7142857142857143,2.7526132404181185,1.0,0.04029802916199328,2.5917721518987342,0.6986111111111112,0.22222222222222227,0.6141636141636142,0.47909407665505227
frozenset({'untouched'}),frozenset({'earth'}),0.08860759493670886,0.11392405063291139,0.056962025316455694,0.6428571428571428,5.642857142857142,1.0,0.04686748918442557,2.481012658227848,0.9027777777777778,0.391304347826087,0.596938775510204,0.5714285714285714
frozenset({'hidden'}),frozenset({'nature'}),0.06329113924050633,0.25949367088607594,0.05063291139240506,0.7999999999999999,3.0829268292682923,1.0,0.034209261336324306,3.7025316455696187,0.7212837837837838,0.18604651162790697,0.72991452991453,0.4975609756097561
frozenset({'hidden'}),frozenset({'untouched'}),0.06329113924050633,0.08860759493670886,0.05063291139240506,0.7999999999999999,9.028571428571428,1.0,0.045024835763499436,4.556962025316454,0.9493243243243242,0.49999999999999994,0.7805555555555554,0.6857142857142857
frozenset({'stunning'}),frozenset({'nature'}),0.06329113924050633,0.25949367088607594,0.05063291139240506,0.7999999999999999,3.0829268292682923,1.0,0.034209261336324306,3.7025316455696187,0.7212837837837838,0.18604651162790697,0.72991452991453,0.4975609756097561
frozenset({'untouched'}),frozenset({'nature'}),0.08860759493670886,0.25949367088607594,0.06329113924050633,0.7142857142857143,2.7526132404181185,1.0,0.04029802916199328,2.5917721518987342,0.6986111111111112,0.22222222222222227,0.6141636141636142,0.47909407665505227
"frozenset({'earth', 'nature'})",frozenset({'untouched'}),0.06329113924050633,0.08860759493670886,0.05063291139240506,0.7999999999999999,9.028571428571428,1.0,0.045024835763499436,4.556962025316454,0.9493243243243242,0.49999999999999994,0.7805555555555554,0.6857142857142857
"frozenset({'earth', 'untouched'})",frozenset({'nature'}),0.056962025316455694,0.25949367088607594,0.05063291139240506,0.888888888888889,3.425474254742548,1.0,0.03585162634193238,6.66455696202532,0.7508389261744965,0.19047619047619047,0.8499525166191835,0.5420054200542006
"frozenset({'nature', 'untouched'})",frozenset({'earth'}),0.06329113924050633,0.11392405063291139,0.05063291139240506,0.7999999999999999,7.022222222222222,1.0,0.043422528440954976,4.430379746835442,0.9155405405405406,0.39999999999999997,0.7742857142857141,0.6222222222222222
