support,itemsets,length
0.06962025316455696,"frozenset({'earth', 'bbc'})",2
0.05063291139240506,"frozenset({'bbc', 'nature'})",2
0.05063291139240506,"frozenset({'earth', 'beauty'})",2
0.06329113924050633,"frozenset({'beauty', 'nature'})",2
0.05063291139240506,"frozenset({'beauty', 'untouched'})",2
0.06329113924050633,"frozenset({'earth', 'nature'})",2
0.05063291139240506,"frozenset({'earth', 'planet'})",2
0.056962025316455694,"frozenset({'earth', 'untouched'})",2
0.05063291139240506,"frozenset({'nature', 'hidden'})",2
0.05063291139240506,"frozenset({'hidden', 'untouched'})",2
0.05063291139240506,"frozenset({'stunning', 'nature'})",2
0.06329113924050633,"frozenset({'nature', 'untouched'})",2
0.05063291139240506,"frozenset({'planet', 'untouched'})",2
0.05063291139240506,"frozenset({'earth', 'nature', 'untouched'})",3
